IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
AALIYAH,KOBIETA,3
NELLI,KOBIETA,3
LOTTA,KOBIETA,3
MIRASLAVA,KOBIETA,3
ALDONA,KOBIETA,3
TEONA,KOBIETA,3
STEFANIE,KOBIETA,3
YULIYA,KOBIETA,3
TAISIA,KOBIETA,3
NARINA,KOBIETA,3
DAISY,KOBIETA,3
ZYTA,KOBIETA,3
ULA,KOBIETA,3
MARÍA,KOBIETA,3
STEPHANIE,KOBIETA,3
ADELIIA,KOBIETA,3
MATHILDA,KOBIETA,3
GABI,KOBIETA,3
INDIA,KOBIETA,3
ALESSIA,KOBIETA,3
JESSIKA,KOBIETA,3
MONICA,KOBIETA,3
NENE,KOBIETA,3
ALYSSA,KOBIETA,3
MARIAMI,KOBIETA,3
ZOI,KOBIETA,3
JARYNA,KOBIETA,3
ZELDA,KOBIETA,3
ELSA,KOBIETA,3
ZAHRA,KOBIETA,3
VALERIYA,KOBIETA,3
ANNIKA,KOBIETA,2
HAFSA,KOBIETA,2
KLEOPATRA,KOBIETA,2
MIRABELA,KOBIETA,2
DINARA,KOBIETA,2
ARLEEN,KOBIETA,2
SIENA,KOBIETA,2
LEANDRA,KOBIETA,2
DILEK,KOBIETA,2
ANNETA,KOBIETA,2
TAISIIA,KOBIETA,2
JOSEPHINA,KOBIETA,2
THUY ANH,KOBIETA,2
JEWA,KOBIETA,2
ŽOFIE,KOBIETA,2
MARGARETA,KOBIETA,2
CHRISTINA,KOBIETA,2
KATHERINE,KOBIETA,2
AMBER,KOBIETA,2
STEFANI,KOBIETA,2
SERENA,KOBIETA,2
WIERA,KOBIETA,2
VLASTA,KOBIETA,2
ZAYA,KOBIETA,2
EUFEMIA,KOBIETA,2
SUZANA,KOBIETA,2
ZEYNEP,KOBIETA,2
SAVANNAH,KOBIETA,2
DAHLIA,KOBIETA,2
EVANGELINE,KOBIETA,2
ANEŽKA,KOBIETA,2
ÉLINE,KOBIETA,2
ZOIA,KOBIETA,2
OCTAVIA,KOBIETA,2
SORAJA,KOBIETA,2
ARIELLE,KOBIETA,2
MARYNA,KOBIETA,2
DEA,KOBIETA,2
ZLATOSLAWA,KOBIETA,2
ZELIA,KOBIETA,2
RAYANA,KOBIETA,2
TEYA,KOBIETA,2
MAI ANH,KOBIETA,2
LILLIANNA,KOBIETA,2
ELEN,KOBIETA,2
JANNA,KOBIETA,2
ATHENA,KOBIETA,2
MISZELA,KOBIETA,2
SAADA,KOBIETA,2
AYSEL,KOBIETA,2
IZABEL,KOBIETA,2
MAXINE,KOBIETA,2
ELODIE,KOBIETA,2
PATRICIA,KOBIETA,2
JOSEPHINE,KOBIETA,2
THEIA,KOBIETA,2
EMILIYA,KOBIETA,2
VAIANA,KOBIETA,2
NESLIHAN,KOBIETA,2
FAY,KOBIETA,2
GOJA,KOBIETA,2
JAŚMIN,KOBIETA,2
HAILEY,KOBIETA,2
EMA,KOBIETA,2
EDEN,KOBIETA,2
JAROSŁAWA,KOBIETA,2
MARY,KOBIETA,2
DAKOTA,KOBIETA,2
CASSANDRA,KOBIETA,2
AGLAYA,KOBIETA,2
CLOE,KOBIETA,2
ADEN,KOBIETA,2
KHÁNH AN,KOBIETA,2
EMMY,KOBIETA,2
NAJA,KOBIETA,2
LUBA,KOBIETA,2
LUCIE,KOBIETA,2
GIOVANNA,KOBIETA,2
SERAFYMA,KOBIETA,2
ALITA,KOBIETA,2
AUGUSTYNA,KOBIETA,2
VIENNA,KOBIETA,2
IWA,KOBIETA,2
BURLA,KOBIETA,2
ELVINA,KOBIETA,2
EVGENIA,KOBIETA,2
VIERA,KOBIETA,2
EMILIJA,KOBIETA,2
LIZ,KOBIETA,2
ESTI,KOBIETA,2
ARIEL,KOBIETA,2
ITA,KOBIETA,2
CRISTINA,KOBIETA,2
RAISA,KOBIETA,2
MEGAN,KOBIETA,2
EVANGELINA,KOBIETA,2
OPHELIA,KOBIETA,2
ISADORA,KOBIETA,2
MILIANA,KOBIETA,2
DELIA,KOBIETA,2
ORYSLAVA,KOBIETA,2
SALOME,KOBIETA,2
LEANNA,KOBIETA,2
VALENTYNA,KOBIETA,2
POLIANNA,KOBIETA,2
ANNA-MARIIA,KOBIETA,2
PETRA,KOBIETA,2
NIKOLINA,KOBIETA,2
ASHANTI,KOBIETA,2
FLAVIA,KOBIETA,2
SVIATOSLAVA,KOBIETA,2
LEJLA,KOBIETA,2
SUSANNA,KOBIETA,2
ELENE,KOBIETA,2
MIRABELLA,KOBIETA,2
OLYMPIA,KOBIETA,2
CAMILIA,KOBIETA,2
ANNE,KOBIETA,2
INJI,KOBIETA,2
LAIA,KOBIETA,2
TOMIRA,KOBIETA,2
JEVA,KOBIETA,2
SAMARA,KOBIETA,2
SONYA,KOBIETA,2
ALISSA,KOBIETA,2
SAANVI,KOBIETA,2
EWANGELINA,KOBIETA,2
IRENE,KOBIETA,2
YULIANA,KOBIETA,2
ALICIIA,KOBIETA,2
RAYA,KOBIETA,2
SUZANNE,KOBIETA,2
STANISLAVA,KOBIETA,2
JUTRZENKA,KOBIETA,2
STELA,KOBIETA,2
ELLENA,KOBIETA,2
TINATIN,KOBIETA,2
SEWERYNA,KOBIETA,2
ELLEN,KOBIETA,2
MARIJA,KOBIETA,2
TALIA,KOBIETA,2
ROMY,KOBIETA,2
SESILI,KOBIETA,2
MIŁANA,KOBIETA,2
VANESA,KOBIETA,2
NASTURCJA,KOBIETA,2
KAMILLA,KOBIETA,2
VIVIAN,KOBIETA,2
YINUO,KOBIETA,2
YASMINE,KOBIETA,2
ELISE,KOBIETA,2
ELI,KOBIETA,2
URSULA,KOBIETA,2
LILE,KOBIETA,2
MILADA,KOBIETA,2
AMELIJA,KOBIETA,2
